ingredients_text,lang
"Harina de trigo, agua, pimiento a la plancha (13,7 %), queso mozzarella (8,8%), nata acidificada, calabacín a la plancha (6,8%), aceite de oliva, aceitunas (2,7%) (aceitunas, sal), espinacas (2,0%), aceite de colza, almidón, queso Cheddar (1,5%), plantas aromáticas, queso pecorino, sal, ajo, levadura, azúcar, proteína de trigo, dextrosa, especias",es
"Té verde, piel de pomelo 11%, aroma natural de piña con otros aromas naturales, aroma natural de pomelo con otros aromas naturales, gránulos de zumo de piña 2%.",es
"SCENDADO Va Va O QUESO MOZZARELLA RALLADA. Ingredie tes: LECHE pasteurizada de vaca, coagulante microbiano, fermentos lácticos, sal. Antiaglomerante (almidón). Sin gluten. Origen de laeche: (UE), Conservar en frío entre 0°C y 8 °C. Una vez abierto, nservar el producto en refrigeración y consumir ante de 2 días.",es
"Agua Bonafont, Azucares, saborizantes, jugo concentrado de manzana (2%), ácido malico, Concentrado Bonafont Juizzy sabor manzana con stevia (9mg/100ml), acido citrico, caramelo clase IV.",es
"Leche pasteurizada de vaca, estabilizante olaruro cálcico, cuajo, conservador lisozima (obtenida de la clara del huevo), fermentos lácticos y sal. Origen de la leche: España.",es
"ES INGREDIENTES Tomates, jarabe de glucosa-fructosa, vinagre de alcohol, azúcar, melaza, miel 4%, almidón modificado de maiz, sal, aroma de humo, especias, aromas.",es
"Agua, habas de soja peladas (11%), azúcar, cacao desgrasado (1%), carbonato de calcio, cacao (0,3%), estabilizantes (goma gellan), corrector de acidez (fosfato monopotásico), sal marina, aromas, vitaminas [riboflavina (B2), cianocobalamina (B12), ergocalciferol (D)].",es
"INGREDIENTES: telado de proteina de Soja con identidad preservada (P fructosa, maltodextrina, papaya y limón en polvo. Alérgenos: SOJA",es
"cuaderno de caligrafia Caligrafix para primer semestre de w os ninos y ninas patrones graficos correctos pars et deser ada legible y proporcionada. Las actividades planteadasa cativas para este nivel escolar, están orientadas en ta m tura de manera conjunta de acuerdo a un modelo de apren Linea Caligrafia 3qui 19 Caligrafia 1 Cuebery de Caligraba Se Vertical de 60 Caligrafix",es
"Pistache 28,9%, cacahuate 22,9%, almendra 22,2%, inulina, sorbitol (3.5 g/100 g de producto), chocolate sin azúcar 3% (maltitol (1.4 g / 100 g de producto), pasta de cacao, manteca de cacao, lecitina de soya, extracto de vainilla, leche en polvo), maltodextrina, fibra cítrica, monoglicéridos y diglicéridos de ácidos grasos, sal yodada y saborizante natural de menta. CONTIENE: PISTACHE, ALMENDRA, CACAHUATE SOVA Y LECHE CONTIENE: MALTITOL Y SORBITOL EL CONSUMO EXCESIVO DE ESTOS EDULCORANTES PUEDE CAUSAR EFECTOS LAXANTES. PUEDE CONTENER: TRAZAS DE OTRAS NUECES DE ÁRBOL 31",es
"PREPARADO VEGETAL A BASE DE TOFU Y CHAMPIÑONES (11 INGREDIENTES: Tofu¹(21%) (agua, habas de soja, gelificante: cloruro magnésico), fibra de soja', cebolla, agua, champiñones' (11%), copos de avena', arroz integral', harina integral de trigo', aceite de oliva virgen extra, aceite de girasol', salsa de soja shoyu' (agua, habas de soja, trigo, sal marina y fermento koji), sal marina y ajo.",es
"Carne de cerdo, tocino, _lactosa_, sal, proteínas de la _leche_, dextrosa, especias, aromas, aromas de humo, estabilizantes (E-450, E-451), antioxidante (E-301), conservadores (E-250, E-252), colorante (E-120), extracto de pimentón,",es
"Azúcar, jarabe de glucosa, glaseado de chocolate (21,4%) (azúcar, aceites y grasas vegetales (palma, shea), pasta de cacao, cacao en polvo desgrasado, emulgente: lecitina de soja (E322), (E476); aroma: vainilla), puré de fresa (8%), humectante: glicerina (E422), gelificante: pectina (E440i), correctores de acidez: ácido cítrico (E330), citrato de sodio (E331iii), polifosfato de sodio (E452i) (&lt;0,1%); colorante: antocianinas (extracto de rábano (E163)), Extracto de zanahoria negra, aromas: cooling, fresa. El chocolate contiene grasas vegetales además de manteca de cacao. Contiene productos derivados de soja. Puede contener trazas de cacahuete, frutos de cáscara y productos lácteos.",es
"Harina de TRIGO,agua,grasas vegetales(palma,nabina),GLUTEN de TRIGO,sal,alcohol,zumo de limon concentrado,levadura inactiva,aroma natural.",es
"Harina de maiz, harina de soya, harina de avena, en polvo 6%, extacb de en polvo, sal, vitaminas Y minerales de calcio, hierro aminoquelado, aminoquelado, nicotinamida, .odextrina, vitamina A, riboflavina, cnitrato de tiamina, cianocobalamina, écido félico) y BHA (antioxidante). CONTIENE SOYA Y LECHE",es
"Edulcorante (maltitol), _almendra_ 30%, _nueces_ en grano 12%, _leche_ desnatada en polvo 11%, edulcorante (sorbitol), aroma de nata, conservador (ácido sórbico).",es
"HARINA DE TRIGO, AZÚCARES AÑADIDOS (AZÚCAR, JARABE DE ALTA FRUCTOSA), ACEITE VEGETAL, SAL YODADA, EMULSIFICANTES (LECITINA DE SOYA, ÉSTERES DE PROPILENGLICOL DE ÁCIDOS GRASOS, MONOESTEARATO DE GLICERILO, ESTEAROIL LACTILATO DE SODIO), ALMIDÓN, SABORES ARTIFICIALES, ÁCIDO CÍTRICO, COLORANTE (TARTRAZINA LACA), METABISULFITO DE SODIO. CONTIENE TRIGO (GLUTEN), SOYA Y SULFITOS. PUEDE CONTENER LECHE, HUEVO, NUECES DE ÁRBOLES, CACAHUATE Y OTROS CEREALES CON GLUTEN. V20",es
"Guisantes, agua, sal, azúcar",es
"AGUA, JARABE DE MAIZ DE ALTA FRUCTOSA, AZUCAR, CLORURO DE SODIO, ACI: ACIDO CITRICO (INS 330), ARO: SABOR A MANZANA, AC REG: FOSFATO MONOPOTASICO (INS 340i), CITRATO DE SODIO (INS 331iii), COLORANTE: CARAMELO (INS 150d), TARTRAZINA (INS 102),",es
"Tomates deshidratados, parcialmente rehidratados, con sal marina. Producto pasteurizado. Ingredientes: 75% tomates deshidratados, agua, 5% sal marina yodada (sal marina, yodato potásico).",es
"Ajo, aceite de oliva, sal, limón",es
"Leche parcialmente descremada, fibra de maíz soluble, lecitina de soya, saborizante idéntico al natural, vitamina C, hierro, vitamina E, nicotinamida. zinc, ácido pantoténico, vitamina B6, vitamina B2. vitamina A, vitamina B1, yodo, ácido fólico, vitamina K, biotina, vitamina D y vitamina B12. Contiene leche (caseína y lactosa) y soya (lecitina de soya). Contiene 16% de grasa butírica y 27% proteína propia de la leche. Contiene 12,0 µg/L de Vitamina D y 752 µg equivalentes de Retinol (Vitamina A)/L",es
"Harina de trigo, quesos (mozzarella, grana padano, cheddar madurado, emmental) (34%), tomate, agua, aceite de girasol, sal, especias, lactosa, levadura, orégano,",es
"Patates, oli d'oliva verge extra 37%, sal.",es
"Kartul (EL), taimsed rasvad (palmi = P, rapsi = R, päevalille = S), suhkur, sool, sibul, maisitärklis, maitsetugevdajad (E621, E635), vürtsid (sh küüslauk, köömned), säilitusaine (õunhape), looduslikud lõhna - ja maitseained, happesuse regulaatorid (piimhape, kaltsiumlaktaat), toiduvärv E160c). Võib sisaldada vähesel määral PIIMAVALKU. Taimeõli varieerub vastavalt saadavusele.",et
"sai 42% (nisujahu, vesi, suhkur, margariin (täielikult hüdrogeenitud päevalilleõli, päevalilleõli, täielikult hüdrogeenitud kookosõli, vesi, emulgaator E322 (raps), sidrunikontsentraat, sool), pärm, sool, nisujuuretis, emulgaator E481, ensüümid (nisu), jahu parendaja E300, rapsiõli, võib sisaldada muna, soja, piima jääke), sink 17% (sealiha, joogivesi, kartulitärklis, sool, stabilisaator: trifosfaat, paksendajad: karrageen, tarakummi, Rivieri titaanjuur, dekstroos, suhkur, lõhna - ja maitseained, antioksüdandid: naatriumaskorbaat, tokoferoolikontsentraat, lihavalk, tardaine: kaaliumkloriid, maltodekstriin, hüdrolüüsitud taimne valk, säilitusaine: naatriumnitrit), majonees (rapsiõli, vesi, modifitseeritud maisitärklis, munakollasemass, äädikhape (äädikhape, vesi), suhkur, jodeeritud sool, sinep (sinepipulber, suhkur, rapsiõli, sool, äädikas, vürtsid), säilitusaine kaaliumsorbaat, stabilisaatorid ksantaankummi ja guarkummi), juust 12%, konservtomat (tomat, tomatimahl, sool, happesuse regulaator sidrunhape), marineeritud kurk (kurk, vesi, äädikas, suhkur, sool, säilitusained E211 ja E202, stabilisaator E509, lõhna - ja maitseained), till.",et
"Suhkur, kakaovõi, täispiimapulber, kakaomass, lössipulber, vadakupulber, võirasv, emulgaator: sojaletsitiin, sool, lõhna - ja maitseaine vanilliin. võib sisalda pähklit, maapähklit, gluteeni.",et
"piim, sool, juuretis, mikrobioloogiline laap.",et
"Looduslik mineraalvesi, suhkur, kollageeni peptiidid (0,2%), tsinksulfaat, C-vitamiin, süsihappegaas, naturaalne toiduvärv - värvohaka kontsentraat, naturaalsed lõhna - ja maitseained, happesuse regulaator - sidrunhape, säilitusaine - naatriumbensoaat.",et
"00 AYU BISKVIITKÜPSIS 200g Koostisosad: NISUJAHU, KANAMUNA, suhkur, vahustuspasta (vesi, emulgaator - rasvhapete mono - ja diglütseriidid, looduslik apelsini aroom), küpsetuspulber",et
"broileririnnafilee (100 g toote valmistamiseks on kasutatud liha), sool, lõhna - ja maitseained (sh kala), vürtsid ja maitsetaimed, dekstroos, glükoos, happesuse regulaator E330, säilitusaine E250. Võib sisaldada vähesel määral nisu, soja, muna, piima, sinepi, ja selleri jääke.",et
"Vesi, suhkur, mango - (4%) ja virsikupüree (3%) kontsentreeritud püreedest, õuna - (2%) ja greibimahl (1%) kontsentreeritud mahladest, hape (sidrunhape), lõhna - ja maitseained, vitamiin C vitamiin E, beetakaroteen, magusaine (aspartaam). Sisaldab fenüülalaniini allikat.",et
"Vesi; suhkur; õuna - (2%) ja mustikamahl (1%) kontsentreeritud mahladest; happesuse regulaator - sidrunhape; süsihappegaas; melissi - ekstrakt (0,1%); looduslikud lõhna - ja maitseained; kaaliumvesinikkarbonaat; kaalium - tsitraadid; säilitusained kaaliumsorbaat, naatriumbensoaat. Võib sisaldada loodusliku päritoluga sadet.",et
"VESI, GLÜKOOSI-FRUKTOOSISIIRUP, KAALIUMGLÜKONAAT, HAPE - ÕUNHAPE, KALTSIUMLAKTAAT, MAGNEESIUMKLORIID, LÕHNA - JA MAITSEAINED, SÄILITUSAINED - E202 JA E211, ANTIOKSÜDANT - ASKORBIINHAPE, TOIDUVÄRVID - E150d JA E160a, VITAMIINID: VITAMIIN C, NIATSIIN (VITAMIIN B3), VITAMIIN B6, BIOTIIN (VITAMIIN B7), VITAMIN B12, VITAMIIN D3, STABILISAATORID - E414 JA E445",et
"Maisitangud 69%, rapsiseemneõli, sool, suhkur, dekstroos, lõhna - ja dinaatrium-5'-ribonukleotiidid), lõhna - ja maitseained (sisaldavad trehaloosi**), toiduvärvid maitsetugevdajad (naatriumvesinikglutamaat, (betaniin, paprikaekstrakt), sibulapulber, vadakupulber piimast, hüdrolüüsitud taimsed valgud (sisaldavad soja), kaaliumkloriid, tomatipulber, jaanikaunajahu, maitsetaimed, happesuse regulaator (sidrunhape), suitsutatud maltodekstriin. **Trehaloos on glükoosi allikas. Toode võib sisaldada järgmist: maapähklid, nisu ja teised gluteeni sisaldavad teraviljad.",et
"Kartulihelbed (58%), tärklis, taimne rapsiseemneõli, suhkur, nisujahu, emulgaatorid (letsitiinid, rasvhapete mono - ja diglütseriidid), sool, kuivikupuru (nisust), paprika, vadakupermeaat piimast, sibulapulber, kaaliumkloriid, lõhna - ja maitseained, sealhulgas suitsutuspreparaadid, küüslaugupulber, toiduvärv (paprikaekstrakt), jaanikaun, dekstroos, happesuse regulaatorid (sidrunhape, õunhape). Võib sisaldada järgmist: soja.",et
"Nisujahu, suhkur, rapsiõli, maitseained (kardemon, kaneel, nelk), melass, sool, kergitusaine (E500), emulgaator (sojaletsitiin), nisukiud, lõhna - ja maitseaine. Võib sisaldada piima, muna ja teisi gluteeni sisadavaid teravilju.",et
"Suhkur, glükoosisiirup, lõhna - ja maitseained, happesuse regulaator (sidrunhape), toiduvärv E141. Säilitusaineteta. Võib sisaldada vähesel määral erinevaid pähkleid ja piimatooteid.",et
"Iiris 81% (suhkur, glükoosisiirup, või, _KONDENSPIIM_, taimne rasv, sool, vanilliin), maisipallid 19% (mais, sool).",et
"248 g liha), sool, sojakaste (sh sojauba, nisu), Worcestershire'i kaste (sh piirituse - ja odralinnaseäädikas, seller, sidruniõli), suhkur, maitsetaimed, vürtsid (sh tšilli, sinep), happesuse regulaator E330, lõhna - ja maitseained, toiduvärv E160c, säilitusaine E250.",et
"Vesi, tomati viljaliha tükid ja tomatipasta, hakkliha 8% (sealiha 50% veiseliha 50%), suhkur, sibul, porgand, juurseller, modifitseeritud tärklis, sool, happesuse regulaator (äädikhape), maitsetaimed, vürtsid (sh sinep).",et
"nisujahu, suhkur, taimsed rasvad muutuvas suhtes (palmi, palmituuma, kookose, päevalille), glükoosisiirup, nisutärklis, kergitusained: E503, E500, sool, lõssipulber, lõhna-ja maitseained, vähendatud rasvasisaldusega kakaopulber, palmiõli, emulgaator E322 (päevalille), vadakutoode, happesuse regulaator E500, hape E330.
Võib sisaldada pähklite, soja ja muna jälgi.",et
"tomatipüree 48%, suhkur , äädikas, punane paprika, sibul, sool, modifitseeritu tärklis, küüslauk, tšillipipar 0,5%, vürtsid, murulauk, jalapeno 0,1%, lõhna - ja maitseained.",et
"broilerifilee (78%), vesi, tärklis, lõhna - ja maitseained, sool, stabilisaator: E450, happesuse regulaator: E451, lihavalk, vürtsid, antioksüdant: E316, säilitusaine: E250. Võib sisaldada vähesel määral soja, piima, sinepit ja sellerit.",et
"Röstitud ja jahvatatud kooritud päevalilleseemned 61,4%, suhkur, tärklisesiirup, vahustaja (seebijuureekstrakt), happesuse regulaator (PIIMHAPE), lõhna - ja maitseaine, vanilliin. Võib sisaldada MAAPÄHKLIT ja SEESAMISEEMNEID.",et
"Õunapüree 60%, õunamahl 48%, pektlin, glasuur: păevalilleöll, karnaubavaha.",et
"Suhkur, kakaomass, kakaovõi, VÕIRASV, emulgaator (SOJALETSITIIN), vanilje lõhna - ja maitseaine. Võib sisaldada PÄHKLEID ja MAAPÄHKLEID.י",et
"Rainbow Pesto Arrabbiata Kaal: 190 g Rainbow' pesto Arrabbiata on valmistatud päikesekuiva tomatitest ja maitsestatud tugevalt tilliga, Kaste on kasutusvalmis, See maitseb hästi pa staga, aga sobio suurepäraselt ka teiste toitude, näiteks kanaroogade, pitsade ja kastmete maitsestamisek Koostisosad: päevalilleðli, päikese uivatatud tomat 24% tomatipüree, küüslauk, basiilik, punane paprika, sool, veiniäädikas, tšilli 1,5%, punapeedip ber, suhkur, glükoosipulber, happesuse regula ator (E270), pune, rosmariin, antioksüdant (E300), Sisaldab sulfiteid, Võib sisaldada vähesel määral piima, kanamuna ja pähkleid (kašupähkleid, mandleid, pistaatsiapăhkleid Kreeka pähkleid), 100 g toiteväärtus: Energiat 1265 kJ /",et
"pastöriseeritud piim, kreeka pähklid (2 %), sool, stabilisaator: kaltsiumkloriid, mikrobioloogiline laap, stardikulturid, Penicillium candidum. Võib sisalda teisi pähklite.",et
"Suhkur, mandel 27%, lõssipulber (piim), kakaomass', glükoosisiirup, vesi, kakaovõi, piiritus, brändi, emulgaator (letsitin), stabilisaator (invertaas), lõhna - ja maitseaine. Säilitusaineteta. Võib sisaldada vahesel määral erinevaid pähkleid, maapähklit, gluteeni sisaldavaid teravilju ja munatooteid.",et
"PIRNIMAHL* (60%), VESI, ANTIOKSÜDANT: ASKORBIINHAPE. SISALDAB *MAHEPÕLLUMAJANDUSEST. LOODUSLIKULT ESINEVAID SUHKRUID, PASTORISEERITUD.",et
"Vanilli-koorejäätis 91% (vesi, suhkur, täispiimapulber, röösk koor, või, vadakupulber, emulgaator rasvhapete mono-ja diglütseriidid, stabilisaatorid: jaanileivapuujahu, guarkummi, karrageen; lõhna - ja maitseaine (vanill)), vahvel 9% (nisujahu, tärklis, rafineeritud rapsiõli, suhkur, emulgaator sojaletsitiin, sool, kergitusaine söögisooda).",et
"Glukoosisiirappi, sokeri, vesi, muunnettu tärkkelys, maissitärkkelys, liivate, ammoniumkloridi (salmiakki), happamuudensäätöaineet (E330, E331), aromit, lakritsiuute, värit (E100, E120, E150c, E153, E160a, E141, E171, E163, E133), perunaproteiini, suola, kasviuutteet (mustaporkkana, safflori) pintakäsittelyaine (E903)",fi
"Vesi, tattarijauho, siemenet 10 % (auringonkukansiemen EU, pellavansiemen Suomi), maissitärkkelys, riisi (täysjyväjauho, taikinajuuri, tärkkelys), tapiokatärkkelys, peruna (jauho, kuitu), sakeuttamisaineet (E464, E466, E415), kosteudensäilyttäjä (E422), siirappi, psyllium, rypsiöljy, hiiva, karamellisiirappi, sokeri, suola, emulgointiaine (E471), säilöntäaine (E200). Saattaa sisältää pieniä määriä gluteenitonta kauraa.",fi
"maito, D-vitamiini",fi
"Viljaporsaanliha (Suomi), vesi, jodioitu suola, silava, stabilointiaineet (E 1412, E 450), mausteet (mm. chili, kumina, korianteri, valkosipuli, inkivääri), aromit, hapettumisenestoaine E 301, glukoosisiirappi, dekstroosi, säilöntäaine natriumnitriitti, luonnonsuoli (sika).",fi
"vehnäjauho, vesi, hiivaleipä-vehnäjauho, vehnärouhe, rypsiöljy, suola, hiiva, ruismallas, täysjyvä-ruisjauho.",fi
"Pastöroitu kirnupiimä (alkuperä: Viro), pastöroitu rasvaton maito, pastöroitu kerma (alkuperä: EU), maitoproteiini, hapate, juoksete.",fi
"_ohramallas_, _vehnä_",fi
"Pastöroitu maito, sokeri, vadelma (4%), mustikka (1%), maitoproteiini, sakeuttamisaineet (pektiini, johanneksenleipäpuujauhe), aromit (mm. vanilja), hapate Säilöntäaineeton. Maidon lypsymaa:",fi
"Vesi, pinaatti 12%, _maitojauhe_, kasvimargariini (rapsiöljy, kovetettu rapsiöljy, vesi, suola, aromi), maissitärkkelys, _vehnäjauho_, suola (suola, jodi), sokeri",fi
"Vesi, mustaherukkasose (21%), sokeri, glukoosisiirappi, kookosrasva, maltodekstriini, dekstroosi, emulgointiaine (kasviperäinen E471), stabilointiaineet (guarkumi, johanneksenleipäpuujauhe, karrageeni)",fi
"Jauhoseos [maissitärkkelys, riisijauho, perunajauho, modifioitu perunatärkkelys, sakeuttamisaineet (guarkumi, natriumalginaatti, pektiini, E464), nostatusaineet (Glukono-delta-laktoni, sooda), kivennäisaine (rauta), vitamiinit (tiamiini, riboflaviini, niasiini, foolihappo)], sokeri, margariini [kasviöljy (rypsi), palmuöljy, suola, emulgointiaineet (rasvahappojen mono - ja diglyseridit (kasviperäinen), auringonkukkalesitiini), happo (sitruunahappo), luontainen aromi, vitamiinit (A, D)], _kananmuna_, suklaa (12%) [kaakaovoi, _maitojauhe_, kaakaomassa, _maitorasva_, emulgointiaine (_soijalesitiini_), aromi (vanilliini), luontainen aromi (vanilja)], _kerma_, kaakao, vanilliinisokeri, ksantaanikumi",fi
"Vesi, kuorittu soijapapu 9% (Kanada, USA), sokeri, passiohedelmätäysmehu 2,7%, mangosose 2,3%, appelsiinitäysmehu 2,3%, polydekstroosi, rypälesokeri, muunnettu tärkkelys, tärkkelys, vitamiinit (D2, riboflaviini (B2), B12, foolihappo), kalsium, stabilointiaine (pektiinit), suola, luontainen aromi, hapate.",fi
"Kerma, stabilointiaine (E407).",fi
"Pastöroitu MAITOjuoma (Suomi), vadelma (4,5 %), mansikka (4,5 %), muunnettu tärkkelys, stabilointiaine (pektiini), hapate, luontaiset aromit. Laktoositon. Ei lisätty sokeria tai makeutusaineita. Sisältää luontaisesti sokereita.",fi
"Suomalainen broilerin siipipala (89%), vesi, jodioitu suola, dekstroosi, mausteet (mm. cayenne, mustapippuri), säilöntäaineet (E262, maitohappo, kalsiumlaktaatti), aromit, kasvikuitu (psyllium, herne), sakeuttamisaine (ksantaanikumi).",fi
"Glukoosisiirappi, sokeri, vesi, lakritsisekoitus (sokeri, melassi, _vehnäjauho_, glukoosisiirappi, kookoshiutale, palmuöljy, liivate (nauta), maissitärkkelys, kosteudensäilyttäjä (glyseroli), värit (sokerikulööri, punajuuriväri, kurkumiini, paprikauute, klorofyllit), vähärasvainen kaakaojauhe, lakritsiuute, pintakäsittelyaine (E901), aromit, spirulinatiiviste, hedelmä - ja vihannestiivisteet (mustaherukka, porkkana, retiisi)), muunnettu tärkkelys, liivate (sika), happamuudensäätöaineet (E330, E331), aromit, ammoniumkloridi (salmiakki), lakritsiuute, värit (E120, E150c, E153, E160a, E100, E141), pintakäsittelyaine (E903). Saattaa sisältää pieniä määriä maitoa.",fi
"VESI, OHRAMALLAS, VEHNÄMALLAS, RUISMALLAS, MALTODEKSTRIINI, HUMALA, Hiiva, SÄILÖNTÄAINEET (KALIUMDISULFIITTI JA NATRIUMBENTSOAATTI)",fi
"97% kalkkunanrintaa (alkuperä: EU), nitriittisuola [suola, säilöntäaine (natriumnitriitti)], rypälesokeri, mausteet, stabilointiaine (difosfaatit), kiinteyttämisaine (kaliumkloridi, hapettu - misenestoaine (natriumaskorbaatti).",fi
"maissijauhoa 98%, kikhernejauho, emuluiniaine (rasvahappojen mono - ja diglyseridit)",fi
"Sokeri, kaakaovoi, kaakaomassa, _täysmaitojauhe_, 7,3 % _mantelia_, _voi_, _kerma_, glukoosisiirappi, sokeroitu _maitotiiviste_, kosteudensäilyttäjä (sorbitolit), _voirasva_, inverttisokerisiirappi, etyylialkoholi, 1% _hasselpähkinää_, 0,6 % _pistaasipähkinää_, emulgointiaine (auringonkukkalesitiini), 0,3 % Marc de Champagne - brandya, happo (sitruunahappo), porkkanatiiviste, appelsiinitäysmehutiiviste, 0,1% kahvilikööriä, karamellisoitu sokerisiirappi, maltodekstriini, karamellisoitu sokeri, luontainen appelsiiniaromi, luontainen vanilja-aromi, kahviuutejauhe, persikkatahna, mustaherukkatahna, kosteudensäilyttäjä (invertaasi), karhunvatukkatahna, _mantelitahna_, mustaporkkanatiiviste, mustaherukkatäysmehutiiviste, mustikkatäysmehutiiviste, muunnettu tärkkelys, luontainen aromi, kasvitiivisteet ja - uutteet (safloritiiviste, paprikauute, punajuuritiiviste), väriaine (antosyaanit), rasvaton jogurttijauhe, luontainen karhunvatukka-aromi, suola. Saattaa sisältää pieniä määriä muita pähkinöitä ja soijaa.",fi
"Suomalainen porsaanliha, vesi, silava, jodioitu suola, etikka, mausteet (mm. korianteri, valkopippuri, sipuli, valkosipuli), dekstroosi, stabilointiaineet (E450), yrtit (meirami, rosmariini, timjami), sokeri, aromit (mm. inkivääri, korianteri, chili, paprika), hapettumisenestoaine (askorbiinihappo). Makkarankuorena lampaansuoli",fi
"Glukoosisiirappi, kasvirasva (kookospähkinä), _maitoproteiini_, stabilointiaine (E340), paakkuuntumisenestoaine (E341), emulgointiaine (E471, E472c), elintarvikeväri (E160a)",fi
"Juusto 98% (maito*, suola, mikrobiperäinen juoksete, hapate), peruna - tärkkelys.",fi
Pinaatti (Suomi),fi
"Kaurapohja (vesi, gluteeniton kaura 12 %), mustikka (5,3%), päärynätiiviste, rypsiöljy, sitruunamehu, tärkkelys sakeuttamisaineet (pektiini, gellaanikumi), perunaproteiini, kalsium, suola, luontaiset aromit, vitamiinit (B2, B12, D2), hapate (S. thermophilus, L. bulgaricus).",fi
"42% ananas, 29 % papaija, 29% mango.",fi
"Vesi, bataatti (EU), peruna, kookoskerma (kookosuute, vesi), sipuli, inkivääri 1% (muu kuin EU), jodioitu suola, sokeri, chili, sarviapila",fi
natriumlaktaatit,fi
"Mineraalivesi (80%), sokeri, fruktoosi-glukoosisiirappi, aromit, sitruunahappo, teeuute (0,1%), sitruunamehu (0,1 %), askorbiinihappo, sukraloosi",fi
"durumvehnäjauho, vesi",fi
"semoule de BLÉ dur, eau.
Peut contenir des traces d'œufs.",fr
"sucre, huile de soja hydrogénée, lactosérum en poudre, lait en poudre cacao en poudre, pâte de noisette, lactose, émulsifiant (lécithine de soja E322), arôme (vanilline), sel.",fr
Pollen en pelotes,fr
"Eau, quenelles de volaille 21 % (farine de _blé_, graisse de boeuf, eau, viande de dinde 2,7 %, blancs d'_oeufs_ pasteurisés, sel, gluten de _blé_, _lactose_ et protéines de _lait_, extrait naturel de poivre), dés de viande hachée de dinde cuits 11 % (viande de dinde, amidon de _blé_, sel, stabilisant : polyphosphates), champignons de Paris 5,5 % (champignons de Paris, eau, sel, acidifiant : acide citrique, antioxygène : acide ascorbique), agent crémeux (huile de tournesol, sirop de glucose, protéines de _lait_), amidon de riz, amidon transformé de maïs, farine de _blé_, vin blanc, arômes (contient _lait_, _blé_ et _oeufs_), _beurre_, _oeufs_ entiers concentrés salés, _crème_ fraîche, sel, spécialité à base de jus de citron (dont acidifiant : acide citrique).",fr
"Contient du malt d'_ORGE_, de _BLÉ_, d'_AVOINE_, Houblons et Levures",fr
"CROÛTE: AVOINE ENTIÈRE, FARINE DE BLÉ, SUCRE/GLUCOSE-FRUCTOSE, FARINE DE BLÉ ENTIER, HUILE VÉGÉTALE, RACINE DE CHICORÉE (INULINE), DEXTROSE, SUBSTANCES LAITIÈRES, SON DE BLÉ, SEL, CELLULOSE, AROME NATUREL ET ARTIFICIEL, BICARBONATE DE POTASSIUM, MONO - ET DIGLYCÉRIDES, LÉCITHINE DE SOYA, GLUTEN DE BLÉ, AMIDON DE MAÍS, CARRAGHÉNINE, GOMME DE GUAR, GARNITURE: SUCRE/GLUCOSE-FRUCTOSE, GLYCERINE, PURÉE DE POMMES CONCENTRÉE, PURÉE DE FRAISES CONCENTRÉE, PURÉE DE BLEUETS CONCENTRÉE, ARÔME NATUREL ET ARTIFICIEL, PURÉE DE FRAMBOISES CONCENTRÉE, AMIDON DE MAÍS MODIFIÉ, ALGINATE DE SODIUM, CITRATE DE SODIUM, ACIDE CITRIQUE, ACIDE MALIQUE, MÉTHYLCELLULOSE, PHOSPHATE DICALCIQUE, COLORANT. CONTIENT DES INGRÉDIENTS DE L'AVOINE, DU BLÉ, DU LAIT ET DU SOYA.",fr
"LAIT* DE VACHE BIOLOGIQUE PASTEURISÉ, SUCRE DE CANNE BIOLOGIQUE, NOISETTES BIOLOGIQUES (8%), CACAO EN POUDRE BIOLOGIQUE (5%), CRÈME BIOLOGIQUE PASTEURISÉE DE VACHE, AMIDON BIOLOGIQUE, ÉPAISSISSANT (CARRAGHÉNANE) ET ARÔME NATUREL. PEUT CONTENIR DES TRACES DE FRUITS À COQUE. *ORIGINE DU LAIT: UE.",fr
"Saumon atlantique 64% (filet 40%, chair 14%, pulpe 10%), eau, noix de St-Jacques* 8%, blanc d'œuf réhydraté, lactose, amidon de pomme de terre, farine de riz, farine de blé, protéines de lait, protéines végétales (blé, pois), sel, fibre de bambou, Cognac (contient du sel, arôme naturel de poivre, colorant: caramel ordinaire), arômes naturels (dont Fibre poisson), épices. Peut contenir des traces de: crustacé, céleri, moutarde. Prote Gluc do",fr
"Lait frais entier, crème, stabilisants: amidon et Carraghénane, sel, ferments lactiques.",fr
"Lait concentré sucré au cacao (lait, sucre, Sirop de glucose, poudre de cacao), margarine [huile de palme, huile de coco entièrement hydrogénée, eau) huile de colza, sel, émulsifiant (mono et di glycérides dacides gras; écithine de tournesol), régulateur dacidité (acide citrique) arôme: vitamines A et Dl farine de blé sucre, mélange d'œuf, miel (4,4%), noix (1 agent levant (bicarbonate de sodium), arôme naturel de vanille, arôme (éthylvaniline). Le produit peut contenir",fr
"Farine de _blé_ type ';0';, sucre, graisse végétale (huile de palme), raisins secs 12 %, _œufs_, écorces d'orange confites 6 % (écorce d'orange, sirop de glucose-fructose, sucre, correcteur d'acidité: acide citrique, conservation: _anhydride sulfureux_), levure naturelle (_blé_), sirop de glucose-fructose, émulsifiants: mono-diglycérides d'acides gras, _beurre_, sel, _lait _écrémé en poudre, arômes",fr
"_Lait_ écrémé réhydraté (origine:France), _fromages_, _beurre_, protéines de _lait_, sels de fonte : polyphosphates et acide citrique, sel.",fr
